,character_name,dialogue,polarity
0,banana guard," Ah, this is hard to watch. I'm gonna look away.",-0.1027
1,banana guard, This place could use a scarecrow.,-0.2023
2,banana guard," Uh, I-I said this place could use a scarecrow.",-0.2023
3,banana guard, She slapped my butt!,0.0
4,banana guard,[' I’m glad you brought this matter to the authorities mam. Now what exactly happened?'],0.481
5,banana guard,"  Alright, ma'am. ,  Let’s see. How do you spell your name?",0.25
6,banana guard,  Okay.,0.2263
7,banana guard,  Okay.,0.2263
8,banana guard,  Okay.,0.2263
9,banana guard,  One sec.,0.0
10,banana guard,  Hold on oone second.,0.0
11,banana guard,  Sheeelbyy! Have you been up there all day?,0.0
12,banana guard,"  Uhh, well can ya read somewhere else? Ya kinda offended Tree Trunks here.",0.101
13,banana guard, Wee-oo-wee—,0.0
14,banana guard,  Banana Guard.,0.0
15,banana guard,"  Oh, okay, who are you tattling on?",0.2263
16,banana guard,  Ice Kingdom? Is this the Ice King?,0.0
17,banana guard,"  Well uh, we hate you, so — ",-0.3818
18,banana guard,  Banana Guard.,0.0
19,banana guard,  Is this the Ice King?,0.0
20,banana guard,  Mrs. Garamblington?,0.0
21,banana guard,  Your wife sounds pretty old.,0.4939
22,banana guard,"  Uh, Mr. Garamblington?",0.0
23,banana guard,  We'll take care of it.,0.4939
24,banana guard,  This is a great party.,0.7783
25,banana guard," Hey, Cinnabun!",0.0
26,banana guard, Ah! Another attack!,-0.5696
27,banana guard, My leader! Another attack!,-0.5696
28,banana guard," Yeah, a lizard. I love your show.",0.7506
29,banana guard," Well, um, my friend is a very highly-placed official in the Candy Kingdom, and I've noticed—",0.6486
30,banana guard, Your skin is looking lovely today.,0.5859
31,banana guard, Aha! Huh?,0.0
32,banana guard, Umph.,0.0
33,banana guard, Yeah?,0.296
34,banana guard," Emergency! Quickly, Lake Butterscotch!",-0.4912
35,banana guard, Use the licorice lace lasso!,0.0
36,banana guard," Oh, okay.",0.2263
37,banana guard," Busted, you boat crimer.",0.0
38,banana guard, Finn and Jake?,0.0
39,banana guard," Uh, yeah, it is the princess!",0.3595
40,banana guard, Um... what case?,0.0
41,banana guard, We didn't solve that case.,-0.1511
42,banana guard," Um, Root Beer Guy!",0.0
43,banana guard, Did she just say let everyone go?,0.0
44,banana guard," Oh! Wow! Cool! ,  Show's back on!",0.8057
45,banana guard," Yo, why are you so confident, man? Aren't you nervous to meet the princess?",0.7423
46,banana guard, Hey!,0.0
47,banana guard, I don't know. Weren't they just here?,0.0
48,banana guard," Well, I guess my kids still have a daddy.",0.2732
49,banana guard," Hey, good news, fellas. You bail's paid. You're free to go. ",0.7351
50,banana guard," Don't. ,  No! ,  Hey, watch your pieces, man.",0.2914
51,banana guard," Hey, the closet's open!",0.0
52,banana guard," Ma'am, you're gonna have to come with us.",0.0
53,banana guard, No!,-0.3595
54,banana guard," Hey, big baby!",0.0
55,banana guard,,0.0
56,banana guard,,0.0
57,banana guard, S-she's beautiful.,0.5994
58,banana guard," No. You're not beautiful. ,  We see you clearly now. You're earwax!",-0.4475
59,banana guard, You're earwax!,0.0
60,banana guard," Uh, no.",-0.296
61,banana guard, Can we flee in a panic?,-0.5106
62,banana guard, I got it!,0.0
63,banana guard," Well, check 'em in, Private.",0.2732
64,banana guard," And Private, I'm very thirsty! Bring me back the most delicious flavor they have!",0.6785
65,banana guard, Huh? Now what in the heck—?!,0.0
66,banana guard," What flavor did you bring me, Private?",0.0
67,banana guard, What?,0.0
68,banana guard, The forbidden flavor! It's—delicious.,-0.4753
69,banana guard, Okay...,0.0
70,banana guard,,0.0
71,banana guard," Hey, speedy. ,  You're comin' with me.",0.0
72,banana guard, Mm-hmm... 'cause you ain't got enough peel on that 'nanner! You're under arrest for public indecency!,-0.4559
73,banana guard," Captain, the milk delivery has arrived.",0.0
74,banana guard," Yes, sir! ",0.4574
75,banana guard, Yes sir! ,0.4574
